Year,Happiness Rank,Happiness Score,Region,Country,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Dystopia Residual,Economy (GDP per Capita),Health (Life Expectancy),Family (Social Support),Trust (Government Corruption),Freedom,Generosity
2015,76,5.332,2015,Turkey,0.03864,5.4077344,5.2562656,2.08528,1.06098,0.73172,0.94632,0.15746,0.22815,0.12253
2015,77,5.286,2015,Kyrgyzstan,0.03823,5.360930799999999,5.2110692,2.2327,0.47428,0.65088,1.15115,0.04232,0.43477,0.3003
2015,78,5.268,2015,Nigeria,0.04192,5.3501632,5.1858368,2.89319,0.65435,0.16007,0.90432,0.0403,0.34334,0.27233
2015,79,5.253,2015,Bhutan,0.03225,5.31621,5.18979,1.63794,0.77042,0.57407,1.10395,0.15445,0.53206,0.47998
2015,80,5.212,2015,Azerbaijan,0.03363,5.2779148,5.1460852,2.00073,1.02389,0.64045,0.93793,0.16065,0.3703,0.07799
2015,81,5.194,2015,Pakistan,0.03726,5.2670296,5.1209704,3.10709,0.59543,0.51466,0.41411,0.10464,0.12102,0.33671
2015,82,5.192,2015,Jordan,0.04524,5.2806704,5.1033296,1.87996,0.90198,0.69639,1.05392,0.14293,0.40661,0.11053
2015,82,5.192,2015,Montenegro,0.05235,5.294606,5.089394,2.10017,0.97438,0.72521,0.90557,0.14296,0.1826,0.1614
2015,84,5.14,2015,China,0.02424,5.1875104,5.0924896,1.8604,0.89012,0.81658,0.94675,0.02781,0.51697,0.08185
2015,85,5.129,2015,Zambia,0.06988,5.2659648,4.992035199999999,2.6343,0.47038,0.29924,0.91612,0.12468,0.48827,0.19591
2015,86,5.124,2015,Romania,0.06607,5.2534972,4.994502799999999,1.93129,1.04345,0.7689,0.88588,0.00649,0.35068,0.13748
2015,87,5.123,2015,Serbia,0.04864,5.2183344,5.027665600000001,2.025,0.92053,0.74836,1.00964,0.02617,0.20107,0.19231
2015,88,5.102,2015,Portugal,0.04802,5.1961192,5.007880800000001,1.26462,1.15991,0.87519,1.13935,0.01078,0.51469,0.13719
2015,89,5.098,2015,Latvia,0.0464,5.188944,5.007056,1.62215,1.11312,0.72437,1.09562,0.06332,0.29671,0.18226
2015,90,5.073,2015,Philippines,0.04934,5.169706400000001,4.9762936,1.7536,0.70532,0.58114,1.03516,0.12279,0.62545,0.24991
2015,91,5.057,2015,Somaliland region,0.06161,5.1777556,4.9362444000000005,2.11032,0.18847,0.43873,0.95152,0.39928,0.46582,0.50318
2015,92,5.013,2015,Morocco,0.0342,5.080032,4.945968,2.45373,0.73479,0.60954,0.64095,0.08546,0.41691,0.07172
2015,93,5.007,2015,Macedonia,0.05376,5.1123696,4.901630399999999,1.73933,0.91851,0.73545,1.00232,0.05327,0.33457,0.22359
2015,94,4.971,2015,Mozambique,0.07896,5.1257616,4.8162384000000005,3.05137,0.08308,0.09131,1.02626,0.15603,0.34037,0.22269
2015,95,4.959,2015,Albania,0.05013,5.0572548,4.860745199999999,1.89894,0.87867,0.81325,0.80434,0.06413,0.35733,0.14272
2015,96,4.949,2015,Bosnia and Herzegovina,0.06913,5.0844948,4.8135052,2.06367,0.83223,0.79081,0.91916,0.00227,0.09245,0.24808
2015,97,4.898,2015,Lesotho,0.09438,5.082984799999999,4.7130152,2.79832,0.37545,0.07612,1.04103,0.12504,0.31767,0.16388
2015,98,4.885,2015,Dominican Republic,0.07446,5.0309416,4.739058399999999,1.21305,0.89537,0.66825,1.17202,0.14234,0.57672,0.21684
2015,99,4.876,2015,Laos,0.06698,5.0072808,4.7447192000000005,1.73799,0.59066,0.54909,0.73803,0.24249,0.59591,0.42192
2015,100,4.874,2015,Mongolia,0.03313,4.938934799999999,4.8090652,1.34759,0.82819,0.60268,1.3006,0.02666,0.43626,0.3323
2015,101,4.867,2015,Swaziland,0.08742,5.0383432,4.6956568,2.48676,0.71206,0.07566,1.07284,0.0306,0.30658,0.18259
2015,102,4.857,2015,Greece,0.05062,4.9562152,4.7577848000000005,1.80101,1.15406,0.88213,0.92933,0.01397,0.07699,0.0
2015,103,4.839,2015,Lebanon,0.04337,4.924005200000001,4.7539948,1.57059,1.02564,0.83947,0.80001,0.04582,0.33916,0.21854
2015,104,4.8,2015,Hungary,0.06107,4.9196972,4.6803028,1.24074,1.12094,0.75905,1.20215,0.02758,0.32112,0.128
2015,105,4.788,2015,Honduras,0.05648,4.8987008,4.6772992,1.84408,0.59532,0.6951,0.95348,0.06825,0.40148,0.23027
2015,106,4.786,2015,Tajikistan,0.03198,4.8486808,4.7233192,2.11399,0.39047,0.57379,0.85563,0.15072,0.47216,0.22974
2015,107,4.739,2015,Tunisia,0.03589,4.8093444,4.6686556,2.12466,0.88113,0.73793,0.60429,0.06358,0.26268,0.06431
2015,108,4.715,2015,Palestinian Territories,0.04394,4.8011224,4.6288776,2.04384,0.59867,0.66015,0.92558,0.12905,0.24499,0.11251
2015,109,4.694,2015,Bangladesh,0.03077,4.7543092,4.6336908,2.51767,0.39753,0.60164,0.43106,0.12569,0.4082,0.21222
2015,110,4.686,2015,Iran,0.04449,4.7732004,4.5987996,1.6944,1.0088,0.69805,0.54447,0.05863,0.30033,0.38086
2015,111,4.681,2015,Ukraine,0.04412,4.7674752,4.5945248,1.5714,0.79907,0.6739,1.20278,0.02961,0.25123,0.15275
2015,112,4.677,2015,Iraq,0.05232,4.7795472,4.5744528,1.95335,0.98549,0.60237,0.81889,0.13788,0.0,0.17922
2015,113,4.642,2015,South Africa,0.04585,4.731866,4.552134000000001,1.71956,0.92049,0.27688,1.18468,0.08884,0.33207,0.11973
2015,114,4.633,2015,Ghana,0.04742,4.7259432,4.5400568,2.30919,0.54558,0.40132,0.67954,0.04355,0.42342,0.23087
2015,115,4.61,2015,Zimbabwe,0.0429,4.694084,4.5259160000000005,2.44191,0.271,0.33475,1.03276,0.08079,0.25861,0.18987
2015,116,4.571,2015,Liberia,0.11068,4.7879328,4.354067199999999,2.77729,0.0712,0.34201,0.78968,0.06232,0.28531,0.24362
2015,117,4.565,2015,India,0.02043,4.6050428000000005,4.5249572,2.27513,0.64499,0.51529,0.38174,0.08492,0.39786,0.26475
2015,118,4.55,2015,Sudan,0.0674,4.682104,4.417896,2.20857,0.52107,0.36878,1.01404,0.1466,0.10081,0.19062
2015,119,4.518,2015,Haiti,0.07331,4.6616876,4.3743124,2.24173,0.26673,0.38847,0.74302,0.17175,0.24425,0.46187
2015,120,4.517,2015,Congo (Kinshasa),0.0368,4.5891280000000005,4.444872,2.86712,0.0,0.09806,1.0012,0.07625,0.22605,0.24834
2015,121,4.514,2015,Nepal,0.03607,4.5846972,4.4433028000000006,1.95637,0.35997,0.56874,0.86449,0.05907,0.38282,0.32296
2015,122,4.512,2015,Ethiopia,0.0378,4.586087999999999,4.437912,2.44876,0.19073,0.44055,0.60406,0.15048,0.4345,0.24325
2015,123,4.507,2015,Sierra Leone,0.07068,4.6455328,4.3684672,2.51009,0.33024,0.0,0.95571,0.08786,0.4084,0.21488
2015,124,4.436,2015,Mauritania,0.03947,4.5133612,4.3586388,2.11773,0.45407,0.35874,0.86908,0.17461,0.24232,0.219
2015,125,4.419,2015,Kenya,0.04734,4.511786399999999,4.3262136,1.78555,0.36471,0.41435,0.99876,0.05839,0.42215,0.37542
2015,126,4.369,2015,Djibouti,0.08096,4.5276816,4.210318399999999,2.05125,0.44025,0.36291,0.59207,0.28105,0.46074,0.18093
2015,127,4.35,2015,Armenia,0.04763,4.4433548,4.2566452,1.75873,0.76821,0.7299,0.77711,0.039,0.19847,0.07855
2015,128,4.332,2015,Botswana,0.04934,4.4287064,4.235293599999999,1.46181,0.99355,0.04776,1.10464,0.12474,0.49495,0.10461
2015,129,4.307,2015,Myanmar,0.04351,4.3922796,4.221720400000001,1.41805,0.27108,0.48246,0.70905,0.19034,0.44017,0.79588
2015,130,4.297,2015,Georgia,0.04221,4.3797316,4.2142684,1.59541,0.7419,0.72926,0.38562,0.38331,0.40577,0.05547
2015,131,4.292,2015,Malawi,0.0613,4.412148,4.171852,2.80791,0.01604,0.22562,0.41134,0.06977,0.43054,0.33128
2015,132,4.271,2015,Sri Lanka,0.03751,4.3445196,4.1974804,0.67108,0.83524,0.70806,1.01905,0.09179,0.53726,0.40828
2015,133,4.252,2015,Cameroon,0.04678,4.3436888,4.1603112,1.95071,0.4225,0.23402,0.88767,0.05786,0.49309,0.20618
2015,134,4.218,2015,Bulgaria,0.04828,4.3126288,4.1233712,0.89991,1.01216,0.76649,1.10614,0.00872,0.30587,0.11921
2015,135,4.194,2015,Egypt,0.0326,4.257896,4.130104,1.59927,0.8818,0.61712,0.747,0.06324,0.17288,0.11291
2015,136,4.077,2015,Yemen,0.04367,4.1625932,3.9914068,1.92313,0.54649,0.40064,0.68093,0.07854,0.35571,0.09131
2015,137,4.033,2015,Angola,0.04758,4.1262568,3.939743200000001,1.94939,0.75778,0.16683,0.8604,0.07122,0.10384,0.12344
2015,138,3.995,2015,Mali,0.05602,4.1047992,3.8852008,1.79293,0.26074,0.20583,1.03526,0.12352,0.38857,0.18798
2015,139,3.989,2015,Congo (Brazzaville),0.06682,4.1199672,3.8580328,1.68135,0.67866,0.31051,0.6629,0.11686,0.41466,0.12388
2015,140,3.956,2015,Comoros,0.04797,4.0500212,3.8619788,1.95812,0.23906,0.36315,0.79273,0.199,0.22917,0.17441
2015,141,3.931,2015,Uganda,0.04317,4.0156132,3.8463868,1.42766,0.21102,0.33861,1.13299,0.07267,0.45727,0.29066
2015,142,3.904,2015,Senegal,0.03608,3.9747168,3.8332832,1.44395,0.36498,0.4354,0.97619,0.10713,0.36772,0.20843
2015,143,3.896,2015,Gabon,0.04547,3.9851212,3.8068788,0.99895,1.06024,0.43372,0.90528,0.11091,0.31914,0.06822
2015,144,3.845,2015,Niger,0.03602,3.9155992,3.7744008,1.87877,0.0694,0.29707,0.77265,0.15639,0.47692,0.19387
2015,145,3.819,2015,Cambodia,0.05069,3.9183524,3.7196476,0.98195,0.46038,0.61114,0.62736,0.07247,0.66246,0.40359
2015,146,3.781,2015,Tanzania,0.05061,3.8801956,3.6818044,1.38079,0.2852,0.38215,1.00268,0.05747,0.32878,0.34377
2015,147,3.681,2015,Madagascar,0.03633,3.7522068,3.6097932,1.851,0.20824,0.46721,0.66801,0.08124,0.19184,0.21333
2015,148,3.678,2015,Central African Republic,0.06112,3.7977952,3.5582048,2.7223,0.0785,0.06699,0.0,0.08289,0.48879,0.23835
2015,149,3.667,2015,Chad,0.0383,3.742068,3.591932,1.94296,0.34193,0.1501,0.76062,0.05269,0.23501,0.18386
2015,150,3.656,2015,Guinea,0.0359,3.726364,3.585636,1.99172,0.17417,0.24009,0.46475,0.12139,0.37725,0.28657
2015,151,3.655,2015,Ivory Coast,0.05141,3.7557636,3.5542364,1.41723,0.46534,0.15185,0.77115,0.17922,0.46866,0.20165
2015,152,3.587,2015,Burkina Faso,0.04324,3.6717504,3.5022496000000003,1.46494,0.25812,0.27125,0.85188,0.12832,0.39493,0.21747
2015,153,3.575,2015,Afghanistan,0.03084,3.6354464,3.5145536,1.9521,0.31982,0.30335,0.30285,0.09719,0.23414,0.3651
2015,154,3.465,2015,Rwanda,0.03464,3.5328944,3.3971056,0.67042,0.22208,0.42864,0.7737,0.55191,0.59201,0.22628
2015,155,3.34,2015,Benin,0.03656,3.4116576,3.2683424,1.63328,0.28665,0.3191,0.35386,0.0801,0.4845,0.1826
2015,156,3.006,2015,Syria,0.05015,3.104294,2.907706,0.32858,0.6632,0.72193,0.47489,0.18906,0.15684,0.47179
2015,157,2.905,2015,Burundi,0.08658,3.0746968,2.7353032,1.83302,0.0153,0.22396,0.41587,0.10062,0.1185,0.19727
2015,158,2.839,2015,Togo,0.06727,2.9708492,2.7071508,1.56726,0.20868,0.28443,0.13995,0.10731,0.36453,0.16681
2016,1,7.526,Western Europe,Denmark,0.033673469,7.592,7.46,2.73939,1.44178,0.79504,1.16374,0.44453,0.57941,0.36171
2016,2,7.509,Western Europe,Switzerland,0.041326531,7.59,7.428,2.69463,1.52733,0.86303,1.14524,0.41203,0.58557,0.28083
2016,3,7.501,Western Europe,Iceland,0.085714286,7.669,7.333,2.83137,1.42666,0.86733,1.18326,0.14975,0.56624,0.47678
2016,4,7.498,Western Europe,Norway,0.039285714,7.575,7.421,2.66465,1.57744,0.79579,1.1269,0.35776,0.59609,0.37895
2016,5,7.413,Western Europe,Finland,0.031632653,7.475,7.351,2.82596,1.40598,0.81091,1.13464,0.41004,0.57104,0.25492
2016,6,7.404,North America,Canada,0.035204082,7.473,7.335,2.70485,1.44015,0.8276,1.0961,0.31329,0.5737,0.44834
2016,7,7.339,Western Europe,Netherlands,0.028061224,7.394,7.284,2.70749,1.46468,0.81231,1.02912,0.29927,0.55211,0.47416
2016,8,7.334,Australia and New Zealand,New Zealand,0.035714286,7.404,7.264,2.47553,1.36066,0.83096,1.17278,0.41904,0.58147,0.49401
2016,9,7.313,Australia and New Zealand,Australia,0.036734694,7.385,7.241,2.5465,1.44443,0.8512,1.10476,0.32331,0.56837,0.47407
2016,10,7.291,Western Europe,Sweden,0.032653061,7.355,7.227,2.54734,1.45181,0.83121,1.08764,0.40867,0.58218,0.38254
2016,11,7.267,Middle East and Northern Africa,Israel,0.034693878,7.335,7.199,3.31029,1.33766,0.84917,0.99537,0.08728,0.36432,0.32288
2016,12,7.119,Western Europe,Austria,0.037755102,7.193,7.045,2.69343,1.45038,0.80565,1.08383,0.21348,0.54355,0.32865
2016,13,7.104,North America,United States,0.042857143,7.188,7.02,2.72782,1.50796,0.779,1.04782,0.14868,0.48163,0.41077
2016,14,7.087,Latin America and Caribbean,Costa Rica,0.044897959,7.175,6.999,3.35168,1.06879,0.76146,1.02152,0.10547,0.55225,0.22553
2016,15,7.039,Latin America and Caribbean,Puerto Rico,0.125,7.284,6.794,3.0076,1.35943,0.77758,1.08113,0.12275,0.46823,0.22202
2016,16,6.994,Western Europe,Germany,0.032653061,7.058,6.93,2.50931,1.44787,0.81487,1.09774,0.28551,0.53466,0.30452
2016,17,6.952,Latin America and Caribbean,Brazil,0.039285714,7.029,6.875,3.50733,1.08754,0.61415,1.03938,0.14166,0.40425,0.15776
2016,18,6.929,Western Europe,Belgium,0.034693878,6.997,6.861,2.61355,1.42539,0.81959,1.05249,0.26248,0.51354,0.2424
2016,19,6.907,Western Europe,Ireland,0.03622449,6.978,6.836,2.15988,1.48341,0.81455,1.16157,0.29754,0.54008,0.44963
2016,20,6.871,Western Europe,Luxembourg,0.034183673,6.938,6.804,2.11055,1.69752,0.84542,1.03999,0.35329,0.5487,0.27571
2016,21,6.778,Latin America and Caribbean,Mexico,0.05,6.876,6.68,3.55906,1.11508,0.71143,0.7146,0.18355,0.37709,0.11735
2016,22,6.739,Southeastern Asia,Singapore,0.033163265,6.804,6.674,1.99375,1.64555,0.94719,0.86758,0.46987,0.4877,0.32706
2016,23,6.725,Western Europe,United Kingdom,0.039795918,6.803,6.647,2.14999,1.40283,0.80991,1.08672,0.27399,0.50036,0.50156
2016,24,6.705,Latin America and Caribbean,Chile,0.045918367,6.795,6.615,2.95505,1.2167,0.81883,0.90587,0.11451,0.37789,0.31595
2016,25,6.701,Latin America and Caribbean,Panama,0.051020408,6.801,6.601,3.00559,1.18306,0.70835,0.98912,0.08423,0.48927,0.2418
2016,26,6.65,Latin America and Caribbean,Argentina,0.045918367,6.74,6.56,3.12985,1.15137,0.69711,1.06612,0.07296,0.42284,0.10989
2016,27,6.596,Central and Eastern Europe,Czech Republic,0.041326531,6.677,6.515,2.96211,1.30915,0.76376,1.00793,0.03986,0.41418,0.09929
2016,28,6.573,Middle East and Northern Africa,United Arab Emirates,0.040306122,6.652,6.494,2.21507,1.57352,0.72993,0.87114,0.35561,0.56215,0.26591
2016,29,6.545,Latin America and Caribbean,Uruguay,0.045408163,6.634,6.456,2.67139,1.18157,0.72183,1.03143,0.21394,0.54388,0.18056
2016,30,6.488,Western Europe,Malta,0.040306122,6.567,6.409,1.99032,1.30782,0.80315,1.09879,0.17554,0.54994,0.56237
2016,31,6.481,Latin America and Caribbean,Colombia,0.049489796,6.578,6.384,3.17471,1.03032,0.59659,1.02169,0.05399,0.44735,0.15626
2016,32,6.478,Western Europe,France,0.041326531,6.559,6.397,2.4744,1.39488,0.83795,1.00508,0.17808,0.46562,0.1216
2016,33,6.474,Southeastern Asia,Thailand,0.039795918,6.552,6.396,2.5796,1.0893,0.64915,1.04477,0.02833,0.49553,0.58696
2016,34,6.379,Middle East and Northern Africa,Saudi Arabia,0.046938776,6.471,6.287,2.61482,1.48953,0.59267,0.84829,0.30008,0.37904,0.15457
